Year,League,Statistic,Team,Value
1974,AL,Complete Games,Boston,71
1974,AL,ERA,Oakland,2.96
1974,AL,Fewest Hits Allowed,Oakland,1322
1974,AL,Fewest Home Runs Allowed,Oakland,90
1974,AL,Fewest Walks Allowed,Oakland,430
1974,AL,Saves,Chicago,29
1974,AL,Shutouts,Baltimore,16
1974,AL,Strikeouts,California,986
1975,AL,Complete Games,Baltimore,70
1975,AL,ERA,Baltimore,3.17
1975,AL,Fewest Hits Allowed,Oakland,1267
1975,AL,Fewest Home Runs Allowed,Oakland,102
1975,AL,Fewest Walks Allowed,Boston,490
1975,AL,Saves,Oakland,44
1975,AL,Shutouts,Baltimore,19
1975,AL,Strikeouts,California,975
1976,AL,Complete Games,California,64
1976,AL,ERA,New York,3.20
1976,AL,Fewest Hits Allowed,New York,1300
1976,AL,Fewest Home Runs Allowed,Baltimore,90
1976,AL,Fewest Walks Allowed,Boston,409
1976,AL,Saves,Cleveland,46
1976,AL,Shutouts,Cleveland,17
1976,AL,Strikeouts,California,992
1977,AL,Complete Games,Baltimore,65
1977,AL,ERA,Kansas City,3.52
1977,AL,Fewest Hits Allowed,Kansas City,1377
1977,AL,Fewest Home Runs Allowed,Kansas City,110
1977,AL,Fewest Walks Allowed,Boston,378
1977,AL,Saves,Kansas City,42
1977,AL,Shutouts,Texas,17
1977,AL,Strikeouts,California,965
1978,AL,Complete Games,Baltimore,65
1978,AL,ERA,New York,3.18
1978,AL,Fewest Hits Allowed,New York,1321
1978,AL,Fewest Home Runs Allowed,Cleveland,100
1978,AL,Fewest Walks Allowed,Milwaukee,398
1978,AL,Saves,New York,36
1978,AL,Shutouts,Milwaukee,19
1978,AL,Strikeouts,California,892
1979,AL,Complete Games,Milwaukee,61
1979,AL,ERA,Baltimore,3.26
1979,AL,Fewest Hits Allowed,Baltimore,1279
1979,AL,Fewest Home Runs Allowed,Chicago,114
1979,AL,Fewest Walks Allowed,Milwaukee,381
1979,AL,Saves,Texas,42
1979,AL,Shutouts,Baltimore,12
1979,AL,Strikeouts,California,820
1980,AL,Complete Games,Oakland,94
1980,AL,ERA,Oakland,3.46
1980,AL,Fewest Hits Allowed,Oakland,1347
1980,AL,Fewest Home Runs Allowed,New York,102
1980,AL,Fewest Walks Allowed,Milwaukee,420
1980,AL,Saves,New York,50
1980,AL,Shutouts,New York,15
1980,AL,Strikeouts,Texas,890
1981,AL,Complete Games,Oakland,60
1981,AL,ERA,New York,2.90
1981,AL,Fewest Hits Allowed,New York,827
1981,AL,Fewest Home Runs Allowed,New York,64
1981,AL,Fewest Walks Allowed,Kansas City,273
1981,AL,Saves,Milwaukee,35
1981,AL,Shutouts,Detroit,13
1981,AL,Strikeouts,New York,606
1982,AL,Complete Games,Detroit,45
1982,AL,ERA,Detroit,3.80
1982,AL,Fewest Hits Allowed,Detroit,1371
