Year,League,Statistic,Team,Value
1928,NL,Batting Average,Pittsburgh,.309
1928,NL,Doubles,St. Louis,292
1928,NL,Hits,Pittsburgh,1659
1928,NL,Home Runs,New York,118
1928,NL,On Base Percentage,Pittsburgh,.364
1928,NL,Runs,Pittsburgh,837
1928,NL,Slugging Average,New York,.430
1928,NL,Stolen Bases,Chicago,83
1928,NL,Triples,Pittsburgh,100
1929,NL,Base on Balls,Chicago,589
1929,NL,Batting Average,Philadelphia,.309
1929,NL,Doubles,Chicago,310
1929,NL,Hits,Philadelphia,1693
1929,NL,Home Runs,Philadelphia,153
1929,NL,On Base Percentage,Philadelphia,.377
1929,NL,Runs,Chicago,982
1929,NL,Slugging Average,Philadelphia,.467
1929,NL,Stolen Bases,Cincinnati,134
1929,NL,Triples,Pittsburgh,116
1930,NL,Base on Balls,Chicago,588
1930,NL,Batting Average,New York,.319
1930,NL,Doubles,St. Louis,373
1930,NL,Hits,Philadelphia,1783
1930,NL,Home Runs,Chicago,171
1930,NL,On Base Percentage,Chicago,.378
1930,NL,Runs,St. Louis,1004
1930,NL,Slugging Average,Chicago,.481
1930,NL,Stolen Bases,Pittsburgh,76
1930,NL,Triples,Pittsburgh,119
1931,NL,Base on Balls,Chicago,577
1931,NL,Batting Average,Chicago,.289
1931,NL,Doubles,St. Louis,353
1931,NL,Hits,Chicago,1578
1931,NL,Home Runs,New York,101
1931,NL,On Base Percentage,Chicago,.360
1931,NL,Runs,Chicago,828
1931,NL,Slugging Average,Chicago,.422
1931,NL,Stolen Bases,St. Louis,114
1931,NL,Triples,Brooklyn,77
1932,NL,Base on Balls,Philadelphia,446
1932,NL,Batting Average,Philadelphia,.292
1932,NL,Doubles,Philadelphia,330
1932,NL,Hits,Philadelphia,1608
1932,NL,Home Runs,Philadelphia,122
1932,NL,On Base Percentage,Philadelphia,.348
1932,NL,Runs,Philadelphia,844
1932,NL,Slugging Average,Philadelphia,.442
1932,NL,Stolen Bases,St. Louis,92
1932,NL,Triples,Pittsburgh,90
1933,NL,Base on Balls,Brooklyn,397
1933,NL,Batting Average,Pittsburgh,.285
1933,NL,Doubles,Chicago,256
1933,NL,Hits,Pittsburgh,1548
1933,NL,Home Runs,New York,82
1933,NL,On Base Percentage,Pittsburgh,.333
1933,NL,Runs,St. Louis,687
1933,NL,Slugging Average,Pittsburgh,.383
1933,NL,Stolen Bases,St. Louis,99
1933,NL,Triples,Pittsburgh,84
1934,NL,Base on Balls,Brooklyn,548
1934,NL,Batting Average,St. Louis,.288
1934,NL,Doubles,St. Louis,294
1934,NL,Hits,St. Louis,1582
1934,NL,Home Runs,New York,126
1934,NL,On Base Percentage,Brooklyn,.350
1934,NL,Runs,St. Louis,799
1934,NL,Slugging Average,St. Louis,.425
1934,NL,Stolen Bases,St. Louis,69
1934,NL,Triples,Brooklyn,548
1935,NL,Base on Balls,Chicago,464
1935,NL,Batting Average,Chicago,.288
1935,NL,Doubles,Chicago,303
1935,NL,Hits,New York,1608
1935,NL,Home Runs,New York,123
1935,NL,On Base Percentage,Chicago,.347
1935,NL,Runs,Chicago,847
1935,NL,Slugging Average,New York,.416
1935,NL,Stolen Bases,Cincinnati,72
1935,NL,Triples,Pittsburgh,90
1936,NL,Base on Balls,Pittsburgh,517
