Year,League,Statistic,Team,Value
1946,NL,Shutouts,St. Louis,18
1946,NL,Strikeouts,Brooklyn,467
1947,NL,Complete Games,Boston,74
1947,NL,ERA,St. Louis,3.53
1947,NL,Fewest Hits Allowed,Brooklyn,1299
1947,NL,Fewest Home Runs Allowed,Boston,93
1947,NL,Fewest Walks Allowed,Boston,453
1947,NL,Saves,Brooklyn,34
1947,NL,Shutouts,Boston,14
1947,NL,Strikeouts,St. Louis,642
1948,NL,Complete Games,Boston,70
1948,NL,ERA,Boston,3.38
1948,NL,Fewest Hits Allowed,Brooklyn,1328
1948,NL,Fewest Home Runs Allowed,Chicago,89
1948,NL,Fewest Walks Allowed,Boston,430
1948,NL,Saves,Brooklyn,22
1948,NL,Shutouts,New York,15
1948,NL,Strikeouts,Brooklyn,670
1949,NL,Complete Games,Boston,68
1949,NL,ERA,St. Louis,3.44
1949,NL,Fewest Hits Allowed,Brooklyn,1306
1949,NL,Fewest Home Runs Allowed,St. Louis,87
1949,NL,Fewest Walks Allowed,Philadelphia,502
1949,NL,Saves,St. Louis,19
1949,NL,Shutouts,Brooklyn,15
1949,NL,Strikeouts,Brooklyn,743
1950,NL,Complete Games,Boston,88
1950,NL,ERA,Philadelphia,3.50
1950,NL,Fewest Hits Allowed,New York,1268
1950,NL,Fewest Home Runs Allowed,St. Louis,119
1950,NL,Fewest Walks Allowed,Philadelphia,530
1950,NL,Saves,Philadelphia,27
1950,NL,Shutouts,New York,19
1950,NL,Strikeouts,Brooklyn,772
1951,NL,Complete Games,Boston,73
1951,NL,ERA,New York,3.48
1951,NL,Fewest Hits Allowed,New York,1334
1951,NL,Fewest Home Runs Allowed,Boston,96
1951,NL,Fewest Walks Allowed,New York,482
1951,NL,Saves,Cincinnati,23
1951,NL,Shutouts,Philadelphia,19
1951,NL,Strikeouts,Brooklyn,693
1952,NL,Complete Games,Philadelphia,80
1952,NL,ERA,Philadelphia,3.07
1952,NL,Fewest Hits Allowed,Chicago,1265
1952,NL,Fewest Home Runs Allowed,Philadelphia,96
1952,NL,Fewest Walks Allowed,Philadelphia,373
1952,NL,Saves,New York,31
1952,NL,Shutouts,Philadelphia,17
1952,NL,Strikeouts,Brooklyn,773
1953,NL,Complete Games,Philadelphia,76
1953,NL,ERA,Milwaukee,3.30
1953,NL,Fewest Hits Allowed,Milwaukee,1282
1953,NL,Fewest Home Runs Allowed,Milwaukee,107
1953,NL,Fewest Walks Allowed,Philadelphia,410
1953,NL,Saves,St. Louis,36
1953,NL,Shutouts,Milwaukee,14
