Year,League,Statistic,Team,Value
1913,NL,Hits,Philadelphia,1433.0
1913,NL,Home Runs,Philadelphia,73.0
1913,NL,On Base Percentage,New York,0.338
1913,NL,Runs,Chicago,720.0
1913,NL,Slugging Average,Philadelphia,0.382
1913,NL,Stolen Bases,New York,296.0
1913,NL,Triples,Chicago,96.0
1914,NL,Base on Balls,Boston,502.0
1914,NL,Batting Average,Brooklyn,0.269
1914,NL,Doubles,New York,222.0
1914,NL,Hits,Brooklyn,1386.0
1914,NL,Home Runs,Philadelphia,62.0
1914,NL,On Base Percentage,New York,0.33
1914,NL,Runs,New York,672.0
1914,NL,Slugging Average,Philadelphia,0.361
1914,NL,Stolen Bases,New York,239.0
1914,NL,Triples,Brooklyn,90.0
1915,NL,Base on Balls,Boston,549.0
1915,NL,Batting Average,St. Louis,0.254
1915,NL,Doubles,Boston,231.0
1915,NL,Hits,Cincinnati,1323.0
1915,NL,Home Runs,Philadelphia,58.0
1915,NL,On Base Percentage,Boston,0.321
1915,NL,Runs,St. Louis,590.0
1915,NL,Slugging Average,Chicago,0.342
1915,NL,Stolen Bases,Pittsburgh,182.0
1915,NL,Triples,St. Louis,92.0
1916,NL,Base on Balls,Boston,437.0
1916,NL,Batting Average,Brooklyn,0.261
1916,NL,Doubles,Philadelphia,223.0
1916,NL,Hits,Brooklyn,1366.0
1916,NL,Home Runs,Chicago,46.0
1916,NL,On Base Percentage,Brooklyn,0.313
1916,NL,Runs,New York,597.0
1916,NL,Slugging Average,Brooklyn,0.345
1916,NL,Stolen Bases,New York,206.0
1916,NL,Triples,Pittsburgh,91.0
1917,NL,Base on Balls,Philadelphia,435.0
1917,NL,Batting Average,Cincinnati,0.264
1917,NL,Doubles,Philadelphia,225.0
1917,NL,Hits,Cincinnati,1385.0
1917,NL,Home Runs,New York,39.0
1917,NL,On Base Percentage,New York,0.317
1917,NL,Runs,New York,635.0
1917,NL,Slugging Average,Cincinnati,0.354
1917,NL,Stolen Bases,New York,162.0
1917,NL,Triples,Cincinnati,100.0
1918,NL,Base on Balls,Pittsburgh,371.0
1918,NL,Batting Average,Cincinnati,0.278
1918,NL,Doubles,Cincinnati,165.0
1918,NL,Hits,Cincinnati,1185.0
1918,NL,Home Runs,St. Louis,27.0
1918,NL,On Base Percentage,Cincinnati,0.33
1918,NL,Runs,Chicago,538.0
1918,NL,Slugging Average,Cincinnati,0.366
1918,NL,Stolen Bases,Pittsburgh,200.0
1918,NL,Triples,Cincinnati,84.0
1919,NL,Base on Balls,Cincinnati,405.0
1919,NL,Batting Average,New York,0.269
1919,NL,Doubles,Philadelphia,208.0
1919,NL,Hits,Brooklyn,1272.0
1919,NL,Home Runs,Philadelphia,42.0
1919,NL,On Base Percentage,Cincinnati,0.327
1919,NL,Runs,New York,605.0
1919,NL,Slugging Average,New York,0.366
1919,NL,Stolen Bases,Pittsburgh,196.0
1919,NL,Triples,Cincinnati,83.0
1920,NL,Base on Balls,New York,432.0
1920,NL,Batting Average,St. Louis,0.289
1920,NL,Doubles,St. Louis,238.0
1920,NL,Hits,St. Louis,1589.0
1920,NL,Home Runs,Philadelphia,64.0
1920,NL,On Base Percentage,St. Louis,0.337
1920,NL,Runs,New York,682.0
1920,NL,Slugging Average,St. Louis,0.385
1920,NL,Stolen Bases,Pittsburgh,181.0
1920,NL,Triples,Brooklyn,99.0
1921,NL,Base on Balls,New York,469.0
1921,NL,Batting Average,St. Louis,0.308
1921,NL,Doubles,St. Louis,260.0
1921,NL,Hits,St. Louis,1635.0
1921,NL,Home Runs,Philadelphia,88.0
1921,NL,On Base Percentage,New York,0.359
1921,NL,Runs,New York,840.0
1921,NL,Slugging Average,St. Louis,0.437
1921,NL,Stolen Bases,New York,137.0
1921,NL,Triples,Pittsburgh,104.0
1922,NL,Base on Balls,Chicago,525.0
1922,NL,Batting Average,Pittsburgh,0.308
1922,NL,Doubles,St. Louis,280.0
1922,NL,Hits,Pittsburgh,1698.0
1922,NL,Home Runs,Philadelphia,116.0
1922,NL,On Base Percentage,New York,0.363
1922,NL,Runs,Pittsburgh,865.0
1922,NL,Slugging Average,St. Louis,0.444
1922,NL,Stolen Bases,Pittsburgh,145.0
1922,NL,Triples,Pittsburgh,110.0
1923,NL,Base on Balls,New York,487.0
1923,NL,Batting Average,New York,0.295
1923,NL,Doubles,St. Louis,274.0
1923,NL,Hits,New York,1610.0
1923,NL,Home Runs,Philadelphia,112.0
1923,NL,On Base Percentage,New York,0.356
1923,NL,Runs,New York,854.0
1923,NL,Slugging Average,New York,0.415
1923,NL,Stolen Bases,Chicago,181.0
1923,NL,Triples,Pittsburgh,111.0
1924,NL,Base on Balls,Chicago,469.0
1924,NL,Batting Average,New York,0.3
1924,NL,Doubles,St. Louis,270.0
1924,NL,Hits,New York,1634.0
1924,NL,Home Runs,New York,95.0
1924,NL,On Base Percentage,New York,0.358
1924,NL,Runs,New York,857.0
1924,NL,Slugging Average,New York,0.432
1924,NL,Stolen Bases,Pittsburgh,181.0
1924,NL,Triples,Pittsburgh,122.0
1925,NL,Base on Balls,Pittsburgh,499.0
1925,NL,Batting Average,Pittsburgh,0.307
1925,NL,Doubles,Pittsburgh,316.0
1925,NL,Hits,Pittsburgh,1651.0
1925,NL,Home Runs,New York,114.0
1925,NL,On Base Percentage,Pittsburgh,0.369
1925,NL,Runs,Pittsburgh,912.0
1925,NL,Slugging Average,Pittsburgh,0.449
1925,NL,Stolen Bases,Pittsburgh,159.0
1925,NL,Triples,Pittsburgh,105.0
1926,NL,Base on Balls,St. Louis,478.0
1926,NL,Batting Average,Cincinnati,0.29
1926,NL,Doubles,Chicago,291.0
1926,NL,Home Runs,St. Louis,90.0
1926,NL,On Base Percentage,Cincinnati,0.349
1926,NL,Runs,St. Louis,817.0
1926,NL,Slugging Average,St. Louis,0.415
1926,NL,Stolen Bases,New York,94.0
1926,NL,Triples,Cincinnati,120.0
1927,NL,Base on Balls,St. Louis,484.0
1927,NL,Batting Average,Pittsburgh,0.305
1927,NL,Doubles,Chicago,266.0
1927,NL,Hits,Pittsburgh,1648.0
1927,NL,Home Runs,New York,109.0
1927,NL,On Base Percentage,Pittsburgh,0.361
1927,NL,Runs,New York,817.0
1927,NL,Slugging Average,New York,0.427
1927,NL,Stolen Bases,St. Louis,110.0
1927,NL,Triples,St. Louis,79.0
1928,NL,Base on Balls,St. Louis,568.0
1928,NL,Batting Average,Pittsburgh,0.309
1928,NL,Doubles,St. Louis,292.0
1928,NL,Hits,Pittsburgh,1659.0
1928,NL,Home Runs,New York,118.0
1928,NL,On Base Percentage,Pittsburgh,0.364
1928,NL,Runs,Pittsburgh,837.0
1928,NL,Slugging Average,New York,0.43
1928,NL,Stolen Bases,Chicago,83.0
1928,NL,Triples,Pittsburgh,100.0
1929,NL,Base on Balls,Chicago,589.0
1929,NL,Batting Average,Philadelphia,0.309
1929,NL,Doubles,Chicago,310.0
1929,NL,Hits,Philadelphia,1693.0
1929,NL,Home Runs,Philadelphia,153.0
1929,NL,On Base Percentage,Philadelphia,0.377
1929,NL,Runs,Chicago,982.0
1929,NL,Slugging Average,Philadelphia,0.467
1929,NL,Stolen Bases,Cincinnati,134.0
1929,NL,Triples,Pittsburgh,116.0
1930,NL,Base on Balls,Chicago,588.0
1930,NL,Batting Average,New York,0.319
1930,NL,Doubles,St. Louis,373.0
1930,NL,Hits,Philadelphia,1783.0
1930,NL,Home Runs,Chicago,171.0
1930,NL,On Base Percentage,Chicago,0.378
1930,NL,Runs,St. Louis,1004.0
1930,NL,Slugging Average,Chicago,0.481
1930,NL,Stolen Bases,Pittsburgh,76.0
1930,NL,Triples,Pittsburgh,119.0
1931,NL,Base on Balls,Chicago,577.0
1931,NL,Batting Average,Chicago,0.289
1931,NL,Doubles,St. Louis,353.0
1931,NL,Hits,Chicago,1578.0
1931,NL,Home Runs,New York,101.0
1931,NL,On Base Percentage,Chicago,0.36
1931,NL,Runs,Chicago,828.0
1931,NL,Slugging Average,Chicago,0.422
1931,NL,Stolen Bases,St. Louis,114.0
1931,NL,Triples,Brooklyn,77.0
1932,NL,Base on Balls,Philadelphia,446.0
1932,NL,Batting Average,Philadelphia,0.292
1932,NL,Doubles,Philadelphia,330.0
1932,NL,Hits,Philadelphia,1608.0
1932,NL,Home Runs,Philadelphia,122.0
1932,NL,On Base Percentage,Philadelphia,0.348
1932,NL,Runs,Philadelphia,844.0
1932,NL,Slugging Average,Philadelphia,0.442
1932,NL,Stolen Bases,St. Louis,92.0
1932,NL,Triples,Pittsburgh,90.0
1933,NL,Base on Balls,Brooklyn,397.0
1933,NL,Batting Average,Pittsburgh,0.285
1933,NL,Doubles,Chicago,256.0
1933,NL,Hits,Pittsburgh,1548.0
1933,NL,Home Runs,New York,82.0
1933,NL,On Base Percentage,Pittsburgh,0.333
1933,NL,Runs,St. Louis,687.0
1933,NL,Slugging Average,Pittsburgh,0.383
1933,NL,Stolen Bases,St. Louis,99.0
1933,NL,Triples,Pittsburgh,84.0
1934,NL,Base on Balls,Brooklyn,548.0
1934,NL,Batting Average,St. Louis,0.288
1934,NL,Doubles,St. Louis,294.0
1934,NL,Hits,St. Louis,1582.0
1934,NL,Home Runs,New York,126.0
1934,NL,On Base Percentage,Brooklyn,0.35
1934,NL,Runs,St. Louis,799.0
1934,NL,Slugging Average,St. Louis,0.425
1934,NL,Stolen Bases,St. Louis,69.0
1934,NL,Triples,Brooklyn,548.0
1935,NL,Base on Balls,Chicago,464.0
1935,NL,Batting Average,Chicago,0.288
1935,NL,Doubles,Chicago,303.0
1935,NL,Hits,New York,1608.0
1935,NL,Home Runs,New York,123.0
1935,NL,On Base Percentage,Chicago,0.347
1935,NL,Runs,Chicago,847.0
1935,NL,Slugging Average,New York,0.416
1935,NL,Stolen Bases,Cincinnati,72.0
1935,NL,Triples,Pittsburgh,90.0
1936,NL,Base on Balls,Pittsburgh,517.0
1936,NL,Batting Average,Pittsburgh,0.286
1936,NL,Doubles,St. Louis,332.0
1936,NL,Hits,Pittsburgh,1596.0
1936,NL,Home Runs,Philadelphia,103.0
1936,NL,On Base Percentage,Pittsburgh,0.349
1936,NL,Runs,Pittsburgh,804.0
1936,NL,Slugging Average,St. Louis,0.41
1936,NL,Stolen Bases,St. Louis,69.0
1936,NL,Triples,Pittsburgh,80.0
1937,NL,Base on Balls,Chicago,538.0
1937,NL,Batting Average,Chicago,0.287
1937,NL,Doubles,St. Louis,264.0
1937,NL,Hits,Pittsburgh,1550.0
1937,NL,Home Runs,New York,111.0
1937,NL,On Base Percentage,Chicago,0.355
1937,NL,Runs,Chicago,811.0
1937,NL,Slugging Average,Chicago,0.416
1937,NL,Stolen Bases,St. Louis,78.0
1937,NL,Triples,Pittsburgh,86.0
1938,NL,Base on Balls,Brooklyn,611.0
1938,NL,Batting Average,Pittsburgh,0.279
1938,NL,Doubles,St. Louis,288.0
1938,NL,Hits,St. Louis,1542.0
1938,NL,Home Runs,New York,125.0
1938,NL,On Base Percentage,Pittsburgh,0.34
1938,NL,Runs,St. Louis,725.0
1938,NL,Slugging Average,St. Louis,0.407
1938,NL,Stolen Bases,Brooklyn,66.0
1938,NL,Triples,Brooklyn,79.0
1939,NL,Base on Balls,Brooklyn,564.0
1939,NL,Batting Average,St. Louis,0.294
1939,NL,Doubles,St. Louis,332.0
1939,NL,Hits,St. Louis,1601.0
1939,NL,Home Runs,New York,116.0
1939,NL,On Base Percentage,St. Louis,0.354
1939,NL,Runs,St. Louis,779.0
1939,NL,Slugging Average,St. Louis,0.432
1939,NL,Stolen Bases,Chicago,61.0
1939,NL,Triples,Chicago,62.0
1940,NL,Base on Balls,Pittsburgh,553.0
1940,NL,Batting Average,Pittsburgh,0.276
1940,NL,Doubles,Pittsburgh,276.0
1940,NL,Hits,St. Louis,1514.0
1940,NL,Home Runs,St. Louis,119.0
1940,NL,On Base Percentage,Pittsburgh,0.346
1940,NL,Runs,Pittsburgh,809.0
1940,NL,Slugging Average,St. Louis,0.411
1940,NL,Stolen Bases,St. Louis,97.0
1940,NL,Triples,Brooklyn,70.0
1941,NL,Base on Balls,Brooklyn,600.0
1941,NL,Batting Average,Brooklyn,0.272
1941,NL,Doubles,Brooklyn,286.0
1941,NL,Hits,Brooklyn,1494.0
1941,NL,Home Runs,Brooklyn,101.0
1941,NL,On Base Percentage,Brooklyn,0.347
1941,NL,Runs,Brooklyn,800.0
1941,NL,Slugging Average,Brooklyn,0.405
1941,NL,Stolen Bases,Cincinnati,68.0
1941,NL,Triples,Brooklyn,69.0
