Year,League,Statistic,Team,Value
1941,NL,Fewest Walks Allowed,Chicago,449.0
1941,NL,Saves,Brooklyn,22.0
1941,NL,Shutouts,Cincinnati,19.0
1941,NL,Strikeouts,St. Louis,659.0
1942,NL,Complete Games,Cincinnati,80.0
1942,NL,ERA,St. Louis,2.55
1942,NL,Fewest Hits Allowed,St. Louis,1192.0
1942,NL,Fewest Home Runs Allowed,Cincinnati,47.0
1942,NL,Fewest Walks Allowed,Pittsburgh,435.0
1942,NL,Saves,Brooklyn,24.0
1942,NL,Shutouts,St. Louis,18.0
1942,NL,Strikeouts,St. Louis,651.0
1943,NL,Complete Games,St. Louis,94.0
1943,NL,ERA,St. Louis,2.57
1943,NL,Fewest Hits Allowed,St. Louis,1246.0
1943,NL,Fewest Home Runs Allowed,St. Louis,33.0
1943,NL,Fewest Walks Allowed,Chicago,394.0
1943,NL,Saves,Brooklyn,22.0
1943,NL,Shutouts,St. Louis,21.0
1943,NL,Strikeouts,St. Louis,639.0
1944,NL,Complete Games,Cincinnati,93.0
1944,NL,ERA,St. Louis,2.68
1944,NL,Fewest Hits Allowed,St. Louis,1228.0
1944,NL,Fewest Home Runs Allowed,Philadelphia,49.0
1944,NL,Fewest Walks Allowed,Cincinnati,390.0
1944,NL,Saves,New York,21.0
1944,NL,Shutouts,St. Louis,26.0
1944,NL,Strikeouts,St. Louis,637.0
1945,NL,Complete Games,Chicago,86.0
1945,NL,ERA,Chicago,2.98
1945,NL,Fewest Hits Allowed,Chicago,1301.0
1945,NL,Fewest Home Runs Allowed,Chicago,57.0
1945,NL,Fewest Walks Allowed,Chicago,385.0
1945,NL,Saves,Philadelphia,26.0
1945,NL,Shutouts,St. Louis,18.0
1945,NL,Strikeouts,Brooklyn,557.0
1946,NL,Complete Games,St. Louis,75.0
1946,NL,ERA,St. Louis,3.01
1946,NL,Fewest Hits Allowed,Brooklyn,1280.0
1946,NL,Fewest Home Runs Allowed,Pittsburgh,50.0
1946,NL,Fewest Walks Allowed,Cincinnati,467.0
1946,NL,Saves,Brooklyn,28.0
1946,NL,Shutouts,St. Louis,18.0
1946,NL,Strikeouts,Brooklyn,467.0
1947,NL,Complete Games,Boston,74.0
1947,NL,ERA,St. Louis,3.53
1947,NL,Fewest Hits Allowed,Brooklyn,1299.0
